Name,Class,Avg,Patch,Grob,Gluth,Thad,Anub,Grand Wid,Maexx,Noth,Heig,Loath,Raz,Gothik,Four,Saph,KT
Renray,dr,94,96,94,95,99,88,91,97,85,95,97,95,38,96,98,97
Degeneratez,mg,92,91,96,92,91,85,95,95,96,95,88,97,69,96,94,87
Dreamivitz,rg,92,95,95,97,95,93,97,76,96,95,96,95,59,84,90,94
Irtz,sh,89,95,87,84,72,83,97,93,97,81,95,89,10,95,85,97
Joepepper,wr,89,91,94,95,95,96,83,51,92,91,87,95,41,97,92,95
Moehawk,dk,89,97,95,94,95,91,99,97,96,96,99,95,95,97,97,20
Kitsunehq,ht,88,94,93,93,76,83,91,99,89,73,87,94,62,87,89,89
Talhorn,rg,88,96,98,93,97,90,88,93,94,95,85,93,41,95,90,85
Scadattle,wl,87,88,95,91,66,91,96,72,93,87,88,90,44,96,84,92
Arfs,wl,86,92,85,92,93,82,82,85,91,97,75,87,59,96,61,72
Eggwoll,pa,85,82,90,82,86,95,96,92,95,95,92,92,10,95,75,88
Getsomefudge,dk,85,96,95,89,90,95,93,96,89,87,96,91,32,90,94,24
Papacap,mg,81,78,95,90,75,66,91,77,93,87,70,76,19,95,65,83
Stabher,rg,80,84,85,87,97,76,86,94,82,83,87,93,34,71,61,70
Teano,rg,78,77,82,92,79,71,78,86,89,86,71,58,31,95,80,79
Kelsier,rg,72,76,77,84,64,82,93,39,91,89,74,9,4,94,86,82
Bucklebeary,dr,70,87,87,63,67,63,67,87,81,86,55,45,55,80,58,91
Khrazed,wl,61,62,78,64,64,46,52,58,76,78,66,57,8,40,51,82
Redbread,pr,51,0,0,0,0,50,63,39,81,72,34,30,12,27,64,52
Padwee,ht,43,43,59,15,34,33,49,33,83,56,30,40,6,23,39,49
Bigwiggy,pa,80,85,75,88,80,83,94,90,97,84,80,80,9,85,74,80
Hobbrovsky,dk,73,96,56,10,87,81,23,56,92,83,30,40,63,95,66,83
Jekkus,sh,77,75,80,79,78,60,75,50,91,92,92,75,81,91,75,50
Waddlet,pa,61,37,47,86,26,79,73,81,95,92,61,17,91,34,34,31
Cogg,pr,56,10,54,25,75,40,20,40,86,20,59,91,46,90,87,90